City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
503,roma,43.2128,-75.4557,268.36,66,100,2.57,US,1675308723
504,homer,59.6425,-151.5483,275.24,93,100,0.0,US,1675308625
505,kautokeino,69.0125,23.0412,260.62,95,61,3.33,NO,1675308808
506,ocala,29.1872,-82.1401,292.03,76,0,0.0,US,1675308710
507,port moresby,-9.4431,147.1797,304.83,66,40,6.17,PG,1675308809
508,tabuk,17.4189,121.4443,301.4,68,26,2.5,PH,1675308809
509,moose factory,51.2585,-80.6094,249.14,84,75,3.09,CA,1675308810
510,shubarshi,48.5872,57.1869,262.69,82,88,3.4,KZ,1675308810
511,katherine,-14.4667,132.2667,304.33,62,75,6.69,AU,1675308810
512,loudi,27.7344,111.9944,280.03,54,100,3.38,CN,1675308811
513,bolgatanga,10.7856,-0.8514,297.06,14,74,2.95,GH,1675308811
514,shadegan,30.6497,48.6647,283.12,64,14,2.56,IR,1675308812
515,nelson bay,-32.7167,152.15,305.42,72,23,8.49,AU,1675308812
516,ibia,-19.4783,-46.5389,294.21,89,100,0.38,BR,1675308813
517,pucallpa,-8.3791,-74.5539,298.17,100,75,1.03,PE,1675308813
518,augustenborg,54.952,9.8722,278.11,75,7,5.14,DK,1675308814
519,san bartolome de tirajana,27.9248,-15.5733,283.88,67,20,3.09,ES,1675308814
520,aksarka,66.5606,67.7975,256.51,97,74,3.93,RU,1675308814
521,rocha,-34.4833,-54.3333,293.01,82,100,2.36,UY,1675308686
522,fort saint james,54.4333,-124.25,263.08,96,100,1.19,CA,1675308815
523,filingue,14.3521,3.3168,294.92,17,19,4.32,NE,1675308815
524,nyurba,63.2842,118.3319,251.28,96,100,3.26,RU,1675308816
